count,unique,top,freq,mean,std,min,25%,50%,75%,max,dataset,Year,Total Goals,Stat,Média de Público por Jogo,Total de Jogadores
22.0,,,,1978.909090909091,27.738419447039753,1930.0,1959.0,1980.0,2001.0,2022.0,WorldCups,,,,,
22,18,France,2,,,,,,,,WorldCups,,,,,
22,9,Brazil,5,,,,,,,,WorldCups,,,,,
22,11,Argentina,3,,,,,,,,WorldCups,,,,,
22,15,Germany,3,,,,,,,,WorldCups,,,,,
22,17,Uruguay,3,,,,,,,,WorldCups,,,,,
22.0,,,,123.63636363636364,34.84188155017909,70.0,90.5,129.0,146.75,172.0,WorldCups,,,,,
22.0,,,,22.227272727272727,7.602830413933374,13.0,16.0,20.0,32.0,32.0,WorldCups,,,,,
22.0,,,,43.81818181818182,17.632859918848922,17.0,32.0,45.0,64.0,64.0,WorldCups,,,,,
22.0,,,,1995166.6818181819,1095166.8515501746,363000.0,931190.5,1987738.0,2970101.0,3587538.0,WorldCups,,,,,
852.0,,,,1985.0892018779343,22.448824702021444,1930.0,1970.0,1990.0,2002.0,2014.0,WorldCupMatches,,,,,
852,602,27 May 1934 - 16:30 ,8,,,,,,,,WorldCupMatches,,,,,
852,23,Round of 16,72,,,,,,,,WorldCupMatches,,,,,
852,181,Estadio Azteca,19,,,,,,,,WorldCupMatches,,,,,
852,151,Mexico City ,23,,,,,,,,WorldCupMatches,,,,,
852,78,Brazil,82,,,,,,,,WorldCupMatches,,,,,
852.0,,,,1.8110328638497653,1.6102551385229658,0.0,1.0,2.0,3.0,10.0,WorldCupMatches,,,,,
852.0,,,,1.022300469483568,1.0875733783096064,0.0,0.0,1.0,2.0,7.0,WorldCupMatches,,,,,
852,83,Mexico,38,,,,,,,,WorldCupMatches,,,,,
852,43, ,787,,,,,,,,WorldCupMatches,,,,,
850.0,,,,45164.8,23485.249247289303,2000.0,30000.0,41579.5,61374.5,173850.0,WorldCupMatches,,,,,
852.0,,,,0.7089201877934272,0.9374141286628077,0.0,0.0,0.0,1.0,6.0,WorldCupMatches,,,,,
852.0,,,,0.4284037558685446,0.6912518906955027,0.0,0.0,0.0,1.0,5.0,WorldCupMatches,,,,,
852,366,Ravshan IRMATOV (UZB),10,,,,,,,,WorldCupMatches,,,,,
852,387,ACHIK Redouane (MAR),7,,,,,,,,WorldCupMatches,,,,,
852,408,KOCHKAROV Bakhadyr (KGZ),10,,,,,,,,WorldCupMatches,,,,,
852.0,,,,10661772.591549296,27296131.702870198,201.0,262.0,337.0,249722.0,97410600.0,WorldCupMatches,,,,,
852.0,,,,61346867.552816905,111057171.67191158,25.0,1188.75,2191.0,43950059.25,300186515.0,WorldCupMatches,,,,,
852,77,BRA,82,,,,,,,,WorldCupMatches,,,,,
852,82,MEX,38,,,,,,,,WorldCupMatches,,,,,
1879.0,,,,9220905.533262374,25414232.12883608,201.0,250.0,337.0,249722.0,97410600.0,WorldCupPlayers,,,,,
1879.0,,,,55505062.66098989,107511917.11643101,25.0,1176.0,1893.0,43950036.0,300186514.0,WorldCupPlayers,,,,,
1879,77,BRA,176,,,,,,,,WorldCupPlayers,,,,,
1879,318,SCHOEN Helmut (FRG),43,,,,,,,,WorldCupPlayers,,,,,
1879,2,S,1709,,,,,,,,WorldCupPlayers,,,,,
